# Race: Chianti Ultra Trail by UTMB 2024 - Chianti Wine Run
# Distance: 15 km
# D+: 550 m
# D-: 550 m
# Date: 2024-03-24
# URL: https://live.utmb.world/chianti/2024
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
6003,Alvïn ALEXANDRE,FR,20,H,18-19M,Norda by JCsport,https://utmb.world/runner/5140331.alvin.alexandre,736.0,1.0,1.0,1.0,01:02:00,3719.998,True,f,
6452,Karl MIDLANE,ZM,30,H,20-34M,SOCIAL RUNNER,https://utmb.world/runner/2974321.karl.midlane,787.0,2.0,2.0,1.0,01:02:31,3751.76,True,f,
6002,Thomas REICHL,AT,31,H,20-34M,Salomon,https://utmb.world/runner/1995909.thomas.reichl,753.0,3.0,3.0,2.0,01:03:08,3788.119,True,f,
6004,Grzegorz ŻÓŁTEK,PL,37,H,35-39M,Non Stop Trail,,,4.0,4.0,1.0,01:03:26,3806.333,True,f,
6001,Alessio DONATI,IT,29,H,20-34M,Trail Running Project,https://utmb.world/runner/4150778.alessio.donati,758.0,5.0,5.0,3.0,01:04:54,3894.603,True,f,
6395,Roy BRUNS,DE,37,H,35-39M,Scott-Sports Germany,https://utmb.world/runner/2180411.roy.bruns,,6.0,6.0,2.0,01:09:16,4156.276,True,f,
6471,Riccardo POGGI,IT,37,H,35-39M,,https://utmb.world/runner/4142936.riccardo.poggi,623.0,7.0,7.0,3.0,01:09:41,4181.629,True,f,
6012,Federico SPERANDII,IT,38,H,35-39M,PRETUZZI RUNNERS,https://utmb.world/runner/4281109.federico.sperandii,671.0,8.0,8.0,4.0,01:10:33,4233.857,True,f,
6006,João FREITAS,PT,33,H,20-34M,VIKINGS TRAIL RUNNERS / CCR ALCABIDEQUE,https://utmb.world/runner/4357998.joao.freitas,685.0,9.0,9.0,4.0,01:11:36,4295.922,True,f,
6102,Luca DONISELLI,IT,29,H,20-34M,CSC Cortenova,https://utmb.world/runner/5373238.luca.doniselli,606.0,10.0,10.0,5.0,01:11:57,4317.844,True,f,
6504,Enrico TESSER,IT,44,H,40-44M,ASD Villa De Sanctis,,,11.0,11.0,1.0,01:13:25,4405.287,True,f,
6108,Pierre AH-KANG,FR,34,H,20-34M,Adidas Runners,https://utmb.world/runner/1991999.pierre.ahkang,591.0,12.0,12.0,6.0,01:13:29,4409.136,True,f,
6010,Georges-Adrien NAUDIN,FR,31,H,20-34M,RCB/Team NAUDIN,https://utmb.world/runner/3225117.georgesadrien.naudin,663.0,13.0,13.0,7.0,01:13:42,4422.052,True,f,
6017,Alberto TOSETTI,IT,32,H,20-34M,Mud & Snow,https://utmb.world/runner/4249696.alberto.tosetti,623.0,14.0,14.0,8.0,01:15:55,4555.717,True,f,
6109,Gabriele MAGINI,IT,33,H,20-34M,,https://utmb.world/runner/5866382.gabriele.magini,589.0,15.0,15.0,9.0,01:17:09,4629.044,True,f,
6401,Luca CONTOZ,IT,38,H,35-39M,INRUN,https://utmb.world/runner/5890215.luca.contoz,,16.0,16.0,5.0,01:17:16,4636.51,True,f,
6447,Daniele PALLINI,IT,40,H,35-39M,ASD Cologna Spiaggia,https://utmb.world/runner/5492577.daniele.pallini,,17.0,17.0,6.0,01:17:19,4639.022,True,f,
6458,Christian RIVERO,IT,39,H,35-39M,Sei X Correre,https://utmb.world/runner/1913417.christian.rivero,450.0,18.0,18.0,7.0,01:17:40,4659.875,True,f,
6478,Irina MANIC,MD,33,F,20-34W,ATLETICA LEVANTE ASD,https://utmb.world/runner/5595226.irina.manic,539.0,19.0,1.0,1.0,01:17:44,4664.403,True,f,
6472,Stefano CHIAPPINI,IT,41,H,40-44M,,https://utmb.world/runner/4962472.stefano.chiappini,633.0,20.0,19.0,2.0,01:17:52,4672.415,True,f,
6429,Marco PEPPICELLI,IT,51,H,50-54M,Filippide,https://utmb.world/runner/5890307.marco.peppicelli,,21.0,20.0,1.0,01:18:17,4697.188,True,f,
6111,Nick MORGAN,GB,50,H,45-49M,,https://utmb.world/runner/4025645.nick.morgan,582.0,22.0,21.0,1.0,01:19:12,4751.949,True,f,
6018,Marcela VILLALOBOS MARTINEZ,MX,36,F,35-39W,Cross club les Fées,https://utmb.world/runner/5256372.marcela.villalobosmartinez,541.0,23.0,2.0,1.0,01:19:57,4797.856,True,f,
6462,Francesco NANNELLI,IT,29,H,20-34M,,https://utmb.world/runner/5923651.francesco.nannelli,,24.0,22.0,10.0,01:20:10,4810.068,True,f,
6121,Maurizio FRANCINI,IT,39,H,35-39M,,https://utmb.world/runner/5035882.maurizio.francini,544.0,25.0,23.0,8.0,01:20:36,4836.06,True,f,
6103,Diego VISCHETTI,IT,43,H,40-44M,,https://utmb.world/runner/4623806.diego.vischetti,598.0,26.0,24.0,3.0,01:21:36,4896.853,True,f,
6407,Luca MAZZINI,IT,26,H,20-34M,Modena Runners Club,https://utmb.world/runner/5890227.luca.mazzini,,27.0,25.0,11.0,01:21:38,4898.126,True,f,
6432,François MORISSE,FR,35,H,20-34M,,https://utmb.world/runner/5890313.francois.morisse,,28.0,26.0,12.0,01:22:05,4925.79,True,f,
6101,Edoardo GIOMI,IT,40,H,35-39M,S.S.D.S. MENS SANA IN CORPORE SANO,https://utmb.world/runner/4143022.edoardo.giomi,606.0,29.0,27.0,9.0,01:23:07,4987.802,True,f,
6359,Thomas INCONDI,IT,20,H,18-19M,GS Castionetto,https://utmb.world/runner/5748917.thomas.incondi,,30.0,28.0,2.0,01:23:09,4988.887,True,f,
6408,Egidio Antonio LATORRACA,IT,45,H,40-44M,Nothing,https://utmb.world/runner/5890233.egidioantonio.latorraca,,31.0,29.0,4.0,01:23:52,5032.316,True,f,
6428,Enrico PALLADINO,IT,28,H,20-34M,,https://utmb.world/runner/5890305.enrico.palladino,,32.0,30.0,13.0,01:24:26,5066.679,True,f,
6464,Lara PARON,IT,30,F,20-34W,Circolo Minerva ASD,https://utmb.world/runner/5137826.lara.paron,493.0,33.0,3.0,2.0,01:24:34,5074.249,True,f,
6106,Donna PERCIVAL,GB,35,F,20-34W,,https://utmb.world/runner/4776028.donna.percival,522.0,34.0,4.0,3.0,01:25:12,5111.274,True,f,
6492,Tomas MORGADE,AR,31,H,20-34M,,,,35.0,31.0,14.0,01:25:50,5150.35,True,f,
6364,Patrick INCONDI,IT,33,H,20-34M,Gs castionetto,https://utmb.world/runner/5748961.patrick.incondi,,36.0,32.0,15.0,01:26:14,5174.17,True,f,
6007,Ines GOMES,PT,25,F,20-34W,Furfor Running Project,https://utmb.world/runner/4751866.ines.gomes,602.0,37.0,5.0,4.0,01:26:24,5184.356,True,f,
6132,Elia FIANCHISTI,IT,39,H,35-39M,ASD Canottieri Comunali Firenze,https://utmb.world/runner/5890303.elia.fianchisti,500.0,38.0,33.0,10.0,01:26:39,5198.313,True,f,
6138,Alberto FRESIA,IT,29,H,20-34M,,https://utmb.world/runner/4204579.alberto.fresia,483.0,39.0,34.0,16.0,01:27:25,5245.309,True,f,
6414,Andrea RODANI,IT,53,H,50-54M,La vetta running,https://utmb.world/runner/1098103.andrea.rodani,,40.0,35.0,2.0,01:27:57,5277.517,True,f,
6416,Stefano Fabrizio CARNIO,IT,55,H,50-54M,la vetta running,https://utmb.world/runner/5890249.stefanofabrizio.carnio,,40.0,35.0,2.0,01:27:57,5277.0,True,f,
6389,Pierre-Alain FRÉMONT,FR,39,H,35-39M,,,,42.0,37.0,11.0,01:28:32,5311.947,True,f,
6107,Francescantonio MANGIARDI,IT,46,H,45-49M,INRUN,https://utmb.world/runner/588545.francescantonio.mangiardi,595.0,43.0,38.0,2.0,01:29:07,5346.973,True,f,
6497,Alexandre SERAIN,FR,33,H,20-34M,,,,44.0,39.0,17.0,01:29:37,5376.32,True,f,
6496,Pauline SER,FR,35,F,20-34W,,,,45.0,6.0,5.0,01:29:38,5378.169,True,f,
6468,Nico BONANNI,IT,36,H,35-39M,Run Fast ASD,https://utmb.world/runner/4151044.nico.bonanni,449.0,46.0,40.0,12.0,01:29:39,5379.296,True,f,
6140,Leonardo RICCARDI,IT,49,H,45-49M,Atletica Levante,https://utmb.world/runner/4976410.leonardo.riccardi,481.0,47.0,41.0,3.0,01:29:49,5389.365,True,f,
6130,Pietro VALLE,IT,40,H,35-39M,,https://utmb.world/runner/4933830.pietro.valle,505.0,48.0,42.0,13.0,01:30:07,5407.554,True,f,
6136,Nicolas VIRAG,BE,39,H,35-39M,,https://utmb.world/runner/5576000.nicolas.virag,487.0,49.0,43.0,14.0,01:30:08,5408.408,True,f,
6321,Elena GAGLIARDI,IT,47,F,45-49W,Apd Pont Saint Martin,https://utmb.world/runner/5890239.elena.gagliardi,,50.0,7.0,1.0,01:30:09,5408.975,True,f,
6370,Marco MALTONI,IT,31,H,20-34M,,https://utmb.world/runner/5749001.marco.maltoni,,51.0,44.0,18.0,01:30:37,5436.391,True,f,
6131,Andrea DONADONI,IT,26,H,20-34M,ALTITUDERACE,https://utmb.world/runner/5551344.andrea.donadoni,501.0,52.0,45.0,19.0,01:31:24,5483.651,True,f,
6129,Sergiusz STANEK,PL,52,H,50-54M,Sparrow's Team,https://utmb.world/runner/5531658.sergiusz.stanek,506.0,53.0,46.0,4.0,01:31:35,5495.402,True,f,
6133,Stefano GROSSET,IT,47,H,45-49M,EDEN SPORT SCSD,https://utmb.world/runner/2141231.stefano.grosset,497.0,54.0,47.0,4.0,01:31:52,5512.698,True,f,
6134,Jason Jean Paul Andrea VERDUCCI,IT,39,H,35-39M,ASD Inrun,https://utmb.world/runner/4817854.jasonjeanpaulandrea.verducci,495.0,55.0,48.0,15.0,01:32:00,5519.995,True,f,
6503,Giacomo STOPPONI,IT,45,H,40-44M,ASD WeLoveInsulina Team,,,55.0,48.0,5.0,01:32:00,5520.454,True,f,
6404,Fabrizio CLEMENTE,IT,53,H,50-54M,,https://utmb.world/runner/3318751.fabrizio.clemente,,57.0,50.0,5.0,01:32:31,5551.67,True,f,
6477,Richard SILLIPP,CA,50,H,45-49M,,https://utmb.world/runner/5942315.richard.sillipp,,58.0,51.0,5.0,01:33:07,5587.869,True,f,
6505,Emanuele EMANUELE PICCHIRILLI,IT,64,H,60-64M,,,,59.0,52.0,1.0,01:34:03,5643.094,True,f,
6473,Ugo FERRANDO,IT,50,H,45-49M,,https://utmb.world/runner/5935781.ugo.ferrando,,60.0,53.0,6.0,01:34:07,5647.605,True,f,
6423,Adrian GARAY,IT,56,H,55-59M,RUNNERS BERGAMO,https://utmb.world/runner/5890273.adrian.garay,,61.0,54.0,1.0,01:34:18,5658.625,True,f,
6502,Ulli GIES,DE,43,H,40-44M,HSV Wienerneustadt,,,62.0,55.0,6.0,01:35:02,5701.975,True,f,
6427,Jacopo TOCCAFONDI,IT,30,H,20-34M,,https://utmb.world/runner/5890297.jacopo.toccafondi,,63.0,56.0,20.0,01:35:17,5716.89,True,f,
6141,Samuele SCALONI,IT,52,H,50-54M,atletica 75 cattolica,https://utmb.world/runner/1476551.samuele.scaloni,480.0,64.0,57.0,6.0,01:35:21,5721.023,True,f,
6436,Patrick OGLIASTRO,FR,55,H,50-54M,,https://utmb.world/runner/5896409.patrick.ogliastro,,65.0,58.0,7.0,01:35:24,5724.426,True,f,
6457,Luca AGOGLIA,IT,50,H,45-49M,Asd Brancaleone,https://utmb.world/runner/525907.luca.agoglia,,66.0,59.0,7.0,01:35:29,5729.116,True,f,
6105,Fatema HUSAIN,BH,33,F,20-34W,,https://utmb.world/runner/2016181.fatema.husain,523.0,67.0,8.0,6.0,01:35:38,5738.329,True,f,
6484,Anna Mariola WIATR,IT,42,F,40-44W,,,,68.0,9.0,1.0,01:35:44,5744.641,True,f,
6155,Luca FRATELORETO,IT,23,H,20-34M,,https://utmb.world/runner/5230140.luca.frateloreto,430.0,69.0,60.0,21.0,01:35:49,5749.233,True,f,
6442,Francesco ZICHELLA,IT,24,H,20-34M,,,,70.0,61.0,22.0,01:35:51,5751.691,True,f,
6491,Lucia Otilia MANOLE,IT,37,F,35-39W,,,,71.0,10.0,2.0,01:36:06,5765.905,True,f,
6334,Chiara BRUSTENGHI,IT,53,F,50-54W,,https://utmb.world/runner/5890285.chiara.brustenghi,,72.0,11.0,1.0,01:36:32,5792.681,True,f,
6124,Alessio MONNANNI,IT,32,H,20-34M,,https://utmb.world/runner/5897069.alessio.monnanni,532.0,73.0,62.0,23.0,01:37:01,5821.749,True,f,
6391,Enrico BELLEI,IT,36,H,35-39M,,https://utmb.world/runner/5890173.enrico.bellei,,74.0,63.0,16.0,01:37:06,5825.827,True,f,
6308,Veronica COLOMBO,IT,27,F,20-34W,,https://utmb.world/runner/5890189.veronica.colombo,,75.0,12.0,7.0,01:38:10,5890.103,True,f,
6158,Thibault DELGRANGE,FR,29,H,20-34M,Team Parcouz,https://utmb.world/runner/5273312.thibault.delgrange,420.0,76.0,64.0,24.0,01:38:12,5892.357,True,f,
6143,Umberto ROCCA,IT,34,H,20-34M,Gruppo Escursionisti Falchi Olginatesi,https://utmb.world/runner/2259107.umberto.rocca,476.0,77.0,65.0,25.0,01:38:13,5893.094,True,f,
6439,Jörg SCHELLER,CH,46,H,45-49M,,https://utmb.world/runner/5896893.jorg.scheller,,78.0,66.0,8.0,01:38:14,5893.412,True,f,
6229,Amélie AUGERON,FR,33,F,20-34W,,https://utmb.world/runner/5316346.amelie.augeron,,79.0,13.0,8.0,01:39:16,5956.901,True,f,
6331,Kelly BETTAN,FR,30,F,20-34W,,https://utmb.world/runner/5890279.kelly.bettan,,80.0,14.0,9.0,01:39:30,5969.756,True,f,
6386,Andrea PIERANGELI,IT,32,H,20-34M,,https://utmb.world/runner/5813585.andrea.pierangeli,,81.0,67.0,26.0,01:39:34,5973.921,True,f,
6360,Gian Luca SCAGLIONI,IT,60,H,55-59M,,https://utmb.world/runner/5748943.gianluca.scaglioni,,82.0,68.0,2.0,01:39:38,5978.799,True,f,
6406,Victor LAHAYE,FR,27,H,20-34M,,https://utmb.world/runner/5890223.victor.lahaye,,83.0,69.0,27.0,01:39:47,5987.674,True,f,
6355,Vayron CEDRIC,FR,20,H,18-19M,AA ALLAUDIENNE ET DU 13ème,https://utmb.world/runner/5748893.vayron.cedric,,84.0,70.0,3.0,01:39:49,5989.465,True,f,
6316,Jade LOY AMMEUX,FR,23,F,20-34W,,https://utmb.world/runner/5890225.jade.loyammeux,,84.0,15.0,10.0,01:39:49,5988.3,True,f,
6126,Andrea BÖSZÖRMENYI,HU,47,F,45-49W,,https://utmb.world/runner/5320621.andrea.boszormenyi,448.0,86.0,16.0,2.0,01:39:50,5990.818,True,f,
6168,Federico GARLASCHI,IT,46,H,45-49M,,https://utmb.world/runner/5004482.federico.garlaschi,401.0,87.0,71.0,9.0,01:40:28,6027.699,True,f,
6152,Luigi GIOVINAZZO,IT,31,H,20-34M,,https://utmb.world/runner/5897057.luigi.giovinazzo,444.0,88.0,72.0,28.0,01:40:30,6030.166,True,f,
6127,Carola PARESCHI,IT,47,F,45-49W,,https://utmb.world/runner/5004484.carola.pareschi,448.0,89.0,17.0,3.0,01:40:33,6033.263,True,f,
6320,Dominika ZAKUTNA,SK,34,F,20-34W,,https://utmb.world/runner/5890235.dominika.zakutna,,90.0,18.0,11.0,01:40:40,6040.249,True,f,
6445,Lorenzo PECORELLA,IT,47,H,45-49M,GSBRUN,https://utmb.world/runner/5897607.lorenzo.pecorella,,91.0,73.0,10.0,01:40:52,6051.774,True,f,
6232,Petra BLUM,CH,39,F,35-39W,,https://utmb.world/runner/5748905.petra.blum,,92.0,19.0,3.0,01:41:09,6069.363,True,f,
6137,Vivian BERNET,CH,27,F,20-34W,,https://utmb.world/runner/5282635.vivian.bernet,425.0,93.0,20.0,12.0,01:41:11,6070.863,True,f,
6412,Alberto LAZZERINI,IT,54,H,50-54M,Prosport Atletica Firenze,https://utmb.world/runner/62839.alberto.lazzerini,,94.0,74.0,8.0,01:41:58,6118.042,True,f,
6191,Massimo GUIGGIANI,IT,67,H,65-69M,radda runners,https://utmb.world/runner/1913911.massimo.guiggiani,349.0,95.0,75.0,1.0,01:42:10,6130.165,True,f,
6307,Francesca UMICINI-CLARK,GB,35,F,20-34W,,https://utmb.world/runner/5890185.francesca.umiciniclark,,96.0,21.0,13.0,01:42:18,6138.756,True,f,
6142,Nicoletta CECCHERINI,IT,49,F,45-49W,G.S. Poli Podi,https://utmb.world/runner/5748845.nicoletta.ceccherini,419.0,97.0,22.0,4.0,01:42:21,6141.579,True,f,
6489,Martin BLAY,FR,30,H,20-34M,,,,98.0,76.0,29.0,01:42:25,6145.84,True,f,
6117,Marek GAJOWY,PL,42,H,40-44M,,https://utmb.world/runner/5035628.marek.gajowy,560.0,99.0,77.0,7.0,01:42:40,6160.572,True,f,
6332,Guadalupe GALAMBOS,ES,32,F,20-34W,Runner Trainer,https://utmb.world/runner/5890281.guadalupe.galambos,,100.0,23.0,14.0,01:42:42,6161.71,True,f,
6338,Chloé SASSETTI,IT,29,F,20-34W,,https://utmb.world/runner/5890299.chloe.sassetti,,101.0,24.0,15.0,01:43:13,6193.767,True,f,
6238,Angela AIOLA,IT,57,F,55-59W,Virtus Groane,https://utmb.world/runner/5748921.angela.aiola,,102.0,25.0,1.0,01:43:24,6204.33,True,f,
6139,Eleonora BAZZURRO,IT,28,F,20-34W,Luciani sport team,https://utmb.world/runner/5280650.eleonora.bazzurro,423.0,103.0,26.0,16.0,01:43:36,6215.315,True,f,
6519,Anna SARTI,IT,29,F,20-34W,Mud & snow,,,103.0,26.0,16.0,01:43:36,6216.784,True,f,
6345,Greta CANETTA,IT,33,F,20-34W,Luciani sport,https://utmb.world/runner/5907669.greta.canetta,,105.0,28.0,18.0,01:43:37,6217.296,True,f,
6289,Maria Chiara FERRUCCI,IT,34,F,20-34W,Molon Labe,https://utmb.world/runner/5813563.mariachiara.ferrucci,,106.0,29.0,19.0,01:43:54,6233.542,True,f,
6380,Gabriele PEGOLO,IT,31,H,20-34M,Molon Labe,https://utmb.world/runner/5813561.gabriele.pegolo,,106.0,78.0,30.0,01:43:54,6233.625,True,f,
6255,Bobja NAJADA,IT,33,F,20-34W,,https://utmb.world/runner/5748965.bobja.najada,,108.0,30.0,20.0,01:43:57,6236.541,True,f,
6264,Agnoletto GIULIA,IT,34,F,20-34W,,https://utmb.world/runner/5748981.giulia.agnoletto,,109.0,31.0,21.0,01:43:59,6239.258,True,f,
6290,Léa ALLERA,FR,38,F,35-39W,,https://utmb.world/runner/5783977.lea.allera,,110.0,32.0,4.0,01:44:05,6245.643,True,f,
6495,Nicolas HOLTZMEYER,DE,39,H,35-39M,SUUNTO,,,111.0,79.0,17.0,01:44:15,6255.409,True,f,
6394,Nicola BENOCCI,IT,53,H,50-54M,,https://utmb.world/runner/5890201.nicola.benocci,,112.0,80.0,9.0,01:44:16,6255.897,True,f,
6475,Andrea CASATI,IT,57,H,55-59M,,https://utmb.world/runner/5575350.andrea.casati,433.0,113.0,81.0,3.0,01:44:26,6266.034,True,f,
6284,Michele HALLER,CH,29,F,20-34W,,https://utmb.world/runner/5813555.michele.haller,,114.0,33.0,22.0,01:44:51,6291.444,True,f,
6200,Barbara TAVERNI,IT,53,F,50-54W,Atletica sestini fiamme verdi,https://utmb.world/runner/5481752.barbara.taverni,224.0,115.0,34.0,2.0,01:45:14,6314.5,True,f,
6396,Matteo VALENTINI,IT,36,H,35-39M,,https://utmb.world/runner/5890205.matteo.valentini,,116.0,82.0,18.0,01:45:21,6321.084,True,f,
6329,Jolanta KNAP,IT,47,F,45-49W,RUNNERS BERGAMO,https://utmb.world/runner/5890275.jolanta.knap,,117.0,35.0,5.0,01:45:35,6335.384,True,f,
