# Race: Valholl by UTMB 2024 - CHALLENGE 55k
# Distance: 57 km
# D+: 2700 m
# D-: 2700 m
# Date: 2024-05-10
# URL: https://live.utmb.world/valholl/2024
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
2002,Nicolas Ignacio BENAVIDES BOHLE,CL,28,H,20-34M,,https://utmb.world/runner/2584763.nicolasignacio.benavides,826.0,1.0,1.0,1.0,05:30:10,19810.184,True,f,
2006,Mauro Laureano ROMERO,AR,32,H,20-34M,,https://utmb.world/runner/1332695.maurolaureano.romero,762.0,2.0,2.0,2.0,05:47:20,20840.54,True,f,
2009,Luis VALLE B,CL,36,H,35-39M,Atletico Caleu,https://utmb.world/runner/487396.luis.valleb,747.0,3.0,3.0,1.0,05:48:27,20907.262,True,f,
2003,Franco PAREDES REYES,AR,29,H,20-34M,,https://utmb.world/runner/880561.franco.paredesreyes,792.0,4.0,4.0,3.0,06:00:05,21605.452,True,f,
2007,Alex Xavier LOZANO ESPINOSA,EC,34,H,20-34M,SIN LIMITES,https://utmb.world/runner/4220199.alexxavier.lozanoespinosa,752.0,5.0,5.0,4.0,06:03:02,21782.641,True,f,
2010,Maximiliano LOPEZ,AR,41,H,40-44M,,https://utmb.world/runner/377455.maximiliano.lopez,744.0,6.0,6.0,1.0,06:10:53,22253.481,True,f,
2015,Agustin Javier PEREZ,AR,32,H,20-34M,,https://utmb.world/runner/3655213.agustinjavier.perez,730.0,7.0,7.0,5.0,06:14:13,22453.527,True,f,
2014,Federico BENITO,AR,29,H,20-34M,Lapenta training,https://utmb.world/runner/1885575.federico.benito,740.0,7.0,7.0,5.0,06:14:13,22453.498,True,f,
2005,Elias Alberto ACEVEDO,AR,40,H,35-39M,,https://utmb.world/runner/3644623.eliasalberto.acevedo,768.0,9.0,9.0,2.0,06:17:39,22659.922,True,f,
2004,Nicolas PALACIOS,CL,39,H,35-39M,,https://utmb.world/runner/569918.nicolas.palacios,783.0,10.0,10.0,3.0,06:22:26,22946.028,True,f,
2020,David CABRAL,AR,41,H,40-44M,Body trail,https://utmb.world/runner/4287646.david.cabral,691.0,11.0,11.0,2.0,06:23:53,23033.902,True,f,
2022,Sebastian CARRO,AR,35,H,20-34M,CEF TRAIL,https://utmb.world/runner/4504394.sebastian.carro,680.0,12.0,12.0,7.0,06:28:00,23280.033,True,f,
2027,Cristian D'ALFONSO,AR,35,H,20-34M,SALPA,https://utmb.world/runner/4504350.cristian.alfonso,660.0,13.0,13.0,8.0,06:30:27,23427.369,True,f,
2836,Pablo URETA,AR,46,H,45-49M,NEW BALANCE,https://utmb.world/runner/292065.pablo.ureta,696.0,14.0,14.0,1.0,06:35:23,23723.003,True,f,
2040,Maria Sol ANDREUCETTI,AR,29,F,20-34W,Guille morra/ gdentrenamientos,https://utmb.world/runner/757321.mariasol.andreucetti,627.0,15.0,1.0,1.0,06:36:17,23777.845,True,f,
2033,Manuel SARAGUSTI,AR,36,H,35-39M,,https://utmb.world/runner/1775927.manuel.saragusti,635.0,16.0,15.0,4.0,06:38:56,23936.611,True,f,
2036,Adelio BALLINES,AR,35,H,20-34M,Instinto primitivo,https://utmb.world/runner/4141969.adelio.ballines,640.0,17.0,16.0,9.0,06:39:26,23966.493,True,f,
2716,Maximiliano MORALES,AR,37,H,35-39M,,https://utmb.world/runner/5926845.maximiliano.morales,,18.0,17.0,5.0,06:48:35,24515.395,True,f,
2023,José Pablo SALAZAR EZQUERRA,CL,32,H,20-34M,Greyhound Project,https://utmb.world/runner/5524411.josepablo.salazarezquerra,679.0,19.0,18.0,10.0,06:48:47,24527.905,True,f,
2057,Gonzalo MAGNI,AR,37,H,35-39M,CEF Trail,https://utmb.world/runner/5029355.gonzalo.magni,598.0,20.0,19.0,6.0,06:50:17,24617.041,True,f,
2680,Florencia Soledad IURNO,AR,35,F,20-34W,,https://utmb.world/runner/1952383.florenciasoledad.iuorno,608.0,21.0,2.0,2.0,06:50:42,24642.361,True,f,
2021,Jose Gabriel CHICHARO,AR,33,H,20-34M,,https://utmb.world/runner/3572385.josegabriel.chicharo,683.0,22.0,20.0,11.0,06:50:59,24659.611,True,f,
2089,Luciano CARRIZO CARLETTI,AR,28,H,20-34M,Rv Equipo de montaña,https://utmb.world/runner/1784173.luciano.carrizocarletti,562.0,23.0,21.0,12.0,06:55:19,24919.242,True,f,
2037,Santiago Tomas VALLEJOS,AR,34,H,20-34M,Mitocondrias,https://utmb.world/runner/5756838.santiagotomas.vallejos,634.0,24.0,22.0,13.0,06:57:48,25068.558,True,f,
2041,Milagros PARERA,AR,35,F,20-34W,Turco Nimer,https://utmb.world/runner/3872395.milagros.parera,630.0,25.0,3.0,3.0,06:58:36,25116.231,True,f,
2032,Mario VARGAS ZAMORA,CL,37,H,35-39M,Trailval,https://utmb.world/runner/2669835.mario.vargaszamora,638.0,26.0,23.0,7.0,07:00:01,25201.165,True,f,
2018,Gerónimo BARRAQUERO,AR,39,H,35-39M,,https://utmb.world/runner/1837709.geronimo.barraquero,694.0,27.0,24.0,8.0,07:04:09,25449.679,True,f,
2469,Leandro MACIEL,AR,36,H,35-39M,Moreno,https://utmb.world/runner/893475.leandro.maciel,398.0,28.0,25.0,9.0,07:05:04,25504.568,True,f,
2127,Jonatan GRASSANO,AR,40,H,35-39M,.,https://utmb.world/runner/4506240.jonatan.grassano,532.0,29.0,26.0,10.0,07:06:12,25572.04,True,f,
2101,Marcela CASADEY,AR,30,F,20-34W,CEF Trail,https://utmb.world/runner/4120481.marcela.casadey,555.0,30.0,4.0,4.0,07:08:35,25715.327,True,f,
2835,Adriana Vanesa VARGAS,AR,47,F,45-49W,Weis,https://utmb.world/runner/310373.adrianavanesa.vargas,669.0,31.0,5.0,1.0,07:08:36,25716.108,True,f,
2087,Marcelo Ramon LAZARTE,AR,38,H,35-39M,TT,https://utmb.world/runner/5105587.marceloramon.lazarte,565.0,32.0,27.0,11.0,07:09:19,25759.82,True,f,
2029,Nicolas ALMIRON,AR,36,H,35-39M,SagaTrainingLab,https://utmb.world/runner/3239255.nicolas.almiron,653.0,33.0,28.0,12.0,07:11:54,25914.295,True,f,
2052,Leonor CALVO,CL,29,F,20-34W,MRCO,https://utmb.world/runner/4504536.leonor.calvo,612.0,34.0,6.0,5.0,07:13:20,26000.248,True,f,
2842,Santiago PETRERA,AR,40,H,35-39M,,,,35.0,29.0,13.0,07:13:51,26031.78,True,f,
2746,Pablo GELABERT SIMONETTI,BR,46,H,45-49M,Universo Trail,https://utmb.world/runner/231656.pablo.simonetti,572.0,36.0,30.0,2.0,07:18:08,26288.99,True,f,
2031,Santiago MASSABO,AR,52,H,50-54M,,https://utmb.world/runner/75645.santiago.massabo,640.0,37.0,31.0,1.0,07:19:59,26399.565,True,f,
2097,Juan SOTO,CL,38,H,35-39M,TR Summit,https://utmb.world/runner/2222667.juan.soto,557.0,38.0,32.0,14.0,07:20:16,26416.126,True,f,
2055,Lucas GUTIERREZ,AR,28,H,20-34M,Marcelo del Collado RT,https://utmb.world/runner/4120445.lucas.gutierrez,599.0,39.0,33.0,14.0,07:20:50,26450.688,True,f,
2742,Juan Fernando CAMEY,GT,34,H,20-34M,,https://utmb.world/runner/5965273.juanfernando.camey,,40.0,34.0,15.0,07:24:12,26652.025,True,f,
