# Race: Valholl by UTMB 2024 - COURAGE 35K
# Distance: 38 km
# D+: 1800 m
# D-: 1800 m
# Date: 2024-05-10
# URL: https://live.utmb.world/valholl/2024
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
6001,Javier MARIQUEO,AR,35,H,20-34M,Team OSX,https://utmb.world/runner/3580049.javier.mariqueo,788.0,1.0,1.0,1.0,03:07:34,11254.0,True,f,
6003,Marcelo DEL COLLADO,AR,32,H,20-34M,,https://utmb.world/runner/1954989.marcelo.delcollado,735.0,2.0,2.0,2.0,03:07:42,11262.0,True,f,
6004,Maikol MENDEZ,UY,32,H,20-34M,https://www.instagram.com/cuesta.arriba.run/,https://utmb.world/runner/1872829.maikol.mendez,705.0,3.0,3.0,3.0,03:10:59,11459.0,True,f,
6008,Ezequiel LOPEZ,AR,24,H,20-34M,Team OSX Argentina y MervickLab ,https://utmb.world/runner/4899488.ezequiel.lopez,682.0,4.0,4.0,4.0,03:12:09,11529.0,True,f,
7063,Diego ANTUN,AR,33,H,20-34M,Mta,https://utmb.world/runner/5651192.diego.antun,654.0,5.0,5.0,5.0,03:12:30,11550.0,True,f,
6005,Maximo MERCADER,AR,24,H,20-34M,MMRUNNERS,https://utmb.world/runner/3872373.maximo.mercader,698.0,6.0,6.0,6.0,03:17:57,11877.0,True,f,
6020,Cristian MENA,AR,47,H,45-49M,Más Activo running,https://utmb.world/runner/5651190.cristian.mena,635.0,7.0,7.0,1.0,03:26:31,12391.0,True,f,
6041,Juan Tomás BALLARINI ARRUTI,AR,29,H,20-34M,Outdoor Pesari,https://utmb.world/runner/5656568.juantomas.ballariniarruti,572.0,8.0,8.0,7.0,03:27:49,12469.0,True,f,
6009,Ramiro FOGLIA,AR,33,H,20-34M,Pauluzak,https://utmb.world/runner/491051.ramiro.foglia,680.0,9.0,9.0,8.0,03:29:09,12549.0,True,f,
7033,Gabriel Alejandro BARRERA,AR,32,H,20-34M,,https://utmb.world/runner/5147625.gabrielalejandro.barrera,669.0,10.0,10.0,9.0,03:29:38,12578.0,True,f,
6006,Julien GILLERON,FR,47,H,45-49M,,https://utmb.world/runner/117149.julien.gilleron,691.0,11.0,11.0,2.0,03:29:45,12585.0,True,f,
6018,Gabriel BORMIDA VILLAFAÑE,AR,35,H,20-34M,TT,https://utmb.world/runner/4120846.gabriel.bormidavillafane,643.0,12.0,12.0,10.0,03:29:58,12598.0,True,f,
7032,Roque DIETRICH,AR,38,H,35-39M,,https://utmb.world/runner/4120870.roque.dietrich,,13.0,13.0,1.0,03:30:47,12647.0,True,f,
6007,Maximiliano Andrés CASTAÑEDA CAPOBEL,AR,27,H,20-34M,,https://utmb.world/runner/4296370.maximiliano.castanedacapobel,683.0,14.0,14.0,11.0,03:31:55,12715.299,True,f,
6010,Franco Gaston ESPECHE,AR,33,H,20-34M,TeamEsteabanLasPeñas,https://utmb.world/runner/582777.francogaston.espeche,680.0,15.0,15.0,12.0,03:33:28,12808.035,True,f,
7056,Gonzalo CABALLERO,UY,41,H,40-44M,Diezclub,,,16.0,16.0,1.0,03:35:13,12913.128,True,f,
6016,Maria Paula GALINDEZ,AR,32,F,20-34W,Pauluzak,https://utmb.world/runner/3643987.mariapaula.galindez,651.0,17.0,1.0,1.0,03:35:15,12915.949,True,f,
6058,Juan Manuel ROSAS,AR,40,H,35-39M,Running sierra,https://utmb.world/runner/4506024.juanmanuel.rosas,,18.0,17.0,2.0,03:38:25,13105.916,True,f,
6900,Alan Daniel SOLIS,AR,34,H,20-34M,Forest Run Group,https://utmb.world/runner/5802433.alandaniel.solis,,19.0,18.0,13.0,03:40:47,13247.254,True,f,
6019,Alexis MAGGI,AR,43,H,40-44M,AGAVE,https://utmb.world/runner/5009067.alexis.maggi,640.0,20.0,19.0,2.0,03:44:44,13484.623,True,f,
6033,Santiago STANHAM,AR,40,H,35-39M,Pauluzak Trail Running Team,https://utmb.world/runner/4309157.santiago.stanham,577.0,21.0,20.0,3.0,03:47:58,13678.88,True,f,
6853,Matías ARIAS,AR,37,H,35-39M,La cima,https://utmb.world/runner/5112743.matias.arias,,22.0,21.0,4.0,03:50:14,13814.488,True,f,
6017,Holben FIGUERA,VE,45,H,40-44M,,https://utmb.world/runner/2222631.holbenjesus.figueralevis,646.0,23.0,22.0,3.0,03:50:36,13836.418,True,f,
6030,Julian Leonel DI PRINZIO,AR,38,H,35-39M,Pauluzak,https://utmb.world/runner/4340898.julianleonel.diprinzio,587.0,24.0,23.0,5.0,03:52:13,13933.022,True,f,
6909,Francisco QUIROGA,AR,30,H,20-34M,,https://utmb.world/runner/5802459.francisco.quiroga,,25.0,24.0,14.0,03:52:46,13966.894,True,f,
6023,Ariel RAMIREZ,AR,38,H,35-39M,DD running team,https://utmb.world/runner/4398350.ariel.ramirez,622.0,26.0,25.0,6.0,03:53:16,13996.444,True,f,
6026,Maria Belen SANCHEZ RUIZ,AR,29,F,20-34W,,https://utmb.world/runner/1785403.mariabelen.sanchezruiz,607.0,27.0,2.0,2.0,03:53:59,14039.737,True,f,
6852,Geronimo BELENGUER,AR,24,H,20-34M,EL PATIO,https://utmb.world/runner/4296386.geronimo.belenguer,,28.0,26.0,15.0,03:54:10,14050.056,True,f,
6065,Jonatan ALCHAO,AR,35,H,20-34M,Aktitud +,https://utmb.world/runner/5101492.jonatan.alchao,531.0,29.0,27.0,16.0,03:54:19,14059.748,True,f,
6034,Javier COTTONARO,AR,42,H,40-44M,PG TEAM,https://utmb.world/runner/4111656.javier.cottonaro,575.0,30.0,28.0,4.0,03:55:58,14158.271,True,f,
6035,Agustín IRIARTE,UY,30,H,20-34M,Maxi López trail runner,https://utmb.world/runner/5192530.agustin.iriarte,575.0,31.0,29.0,17.0,03:56:08,14168.742,True,f,
6039,Patricia COBI,CL,47,F,45-49W,Team Vilches,https://utmb.world/runner/2662083.patricia.cobi,573.0,32.0,3.0,1.0,03:56:18,14178.134,True,f,
6021,Patricio LARROSA,AR,38,H,35-39M,,https://utmb.world/runner/590135.patricio.larrosa,631.0,33.0,30.0,7.0,03:57:19,14239.335,True,f,
7002,Kacper KUBARA,PL,27,H,20-34M,Marcin Swierc TEAM,https://utmb.world/runner/5687603.kacper.kubara,,34.0,31.0,18.0,03:57:26,14246.024,True,f,
6015,Leonardo Luis GUTIÉRREZ,AR,28,H,20-34M,Body trail running,https://utmb.world/runner/5651186.leonardoluis.gutierrez,658.0,35.0,32.0,19.0,03:58:38,14318.028,True,f,
7061,Martin MIGUELES,AR,47,H,45-49M,,,,36.0,33.0,3.0,03:59:23,14363.21,True,f,
6864,Jessy KLINGBEIL,AR,36,F,35-39W,GEP,https://utmb.world/runner/5802549.jessy.klingbeil,,37.0,4.0,1.0,04:00:05,14405.632,True,f,
6024,Adrián Raúl CAPRA,AR,50,H,45-49M,Diego Simón ,https://utmb.world/runner/4670142.adrian.capra,618.0,38.0,34.0,4.0,04:03:52,14632.951,True,f,
6048,Lucia SALAS NALLINO,AR,34,F,20-34W,Turco Nimer,https://utmb.world/runner/5293154.lucia.salasnallino,549.0,39.0,5.0,3.0,04:04:11,14651.522,True,f,
6044,Marcelo DA COSTA ROLO,AR,57,H,55-59M,Entrenamiento Oeste Fila team,https://utmb.world/runner/1784381.marcelo.dacostarolo,562.0,40.0,35.0,1.0,04:04:47,14687.763,True,f,
6031,Joana Noemi CHANCOSI CONLAGO,EC,31,F,20-34W,Ninguno,https://utmb.world/runner/3842031.joananoemi.chancosiconlago,585.0,41.0,6.0,4.0,04:08:03,14883.042,True,f,
6744,Juan Gonzalo MORALES,AR,38,H,35-39M,,https://utmb.world/runner/3615463.juangonzalo.morales,,42.0,36.0,8.0,04:09:04,14944.245,True,f,
6151,Santiago FERRARA,AR,42,H,40-44M,NO,https://utmb.world/runner/3239257.santiago.ferrara,595.0,43.0,37.0,5.0,04:09:14,14954.596,True,f,
6102,Julian HAITAYAN,AR,29,H,20-34M,,https://utmb.world/runner/5911799.julian.haitayan,500.0,44.0,38.0,20.0,04:09:20,14960.956,True,f,
6056,Emanuel MONGE,AR,37,H,35-39M,,https://utmb.world/runner/4427090.emanuel.monge,541.0,45.0,39.0,9.0,04:09:23,14963.295,True,f,
6906,Juan COSTELLO,AR,47,H,45-49M,,https://utmb.world/runner/1332755.juan.costello,,46.0,40.0,5.0,04:10:53,15053.508,True,f,
6022,Giuliano MACASSO,AR,31,H,20-34M,La costa Run,https://utmb.world/runner/4309091.giuliano.macasso,624.0,47.0,41.0,21.0,04:10:59,15059.552,True,f,
6670,Fabian Antonio SANABRIA,AR,42,H,40-44M,,https://utmb.world/runner/5572527.fabianantonio.sanabria,,48.0,42.0,6.0,04:11:54,15114.741,True,f,
6618,Nicolas VANSTRATE,AR,30,H,20-34M,Zona 4 Entrenamientos,https://utmb.world/runner/6048433.nicolas.vanstrate,,49.0,43.0,22.0,04:12:22,15142.374,True,f,
6025,Fernando BONINO,UY,52,H,50-54M,Cuesta arriba,https://utmb.world/runner/1748303.fernando.bonino,611.0,50.0,44.0,1.0,04:12:52,15172.704,True,f,
6095,Olivia DIAZ UGALDE,AR,34,F,20-34W,,https://utmb.world/runner/4343782.olivia.diazugalde,503.0,51.0,7.0,5.0,04:13:39,15219.026,True,f,
6135,Atilio José BERTOCCHI VALLE,AR,29,H,20-34M,JB CLUB,https://utmb.world/runner/5751260.atiliojose.bertocchivalle,480.0,52.0,45.0,23.0,04:13:46,15226.947,True,f,
6037,Javier Alejandro SANCHEZ,AR,38,H,35-39M,Pauluzak TRT,https://utmb.world/runner/4626322.javieralejandro.sanchez,574.0,53.0,46.0,10.0,04:13:53,15233.126,True,f,
6240,Federico BOTELLA,AR,28,H,20-34M,,https://utmb.world/runner/4626422.federico.botella,431.0,54.0,47.0,24.0,04:14:49,15289.169,True,f,
6032,Bernardo CARBONARO,AR,37,H,35-39M,Diego Simon Trail Running,https://utmb.world/runner/4848750.bernardo.carbonaro,577.0,55.0,48.0,11.0,04:18:36,15516.699,True,f,
6049,Juan Carlos RIOS GRANIZO,EC,36,H,35-39M,Hieleros ecuador,https://utmb.world/runner/2981131.juancarlos.riosgranizo,550.0,56.0,49.0,12.0,04:19:29,15569.201,True,f,
6761,Gonzalo RANEA,AR,44,H,40-44M,Run Mountain - Carlos Becerra,https://utmb.world/runner/5883821.gonzalo.ranea,,57.0,50.0,7.0,04:19:56,15596.383,True,f,
6077,Ignacio CÁCERES,UY,33,H,20-34M,La Costa,https://utmb.world/runner/5938617.ignacio.caceres,521.0,57.0,50.0,25.0,04:19:56,15596.833,True,f,
6073,Marcelo Ezequiel GODOY,AR,37,H,35-39M,Outdoor Training,https://utmb.world/runner/5649514.marceloezequiel.godoy,526.0,59.0,52.0,13.0,04:20:10,15610.513,True,f,
6183,Santiago Damian PARROU,AR,40,H,35-39M,MAXILOPEZ.RT.UTMB,https://utmb.world/runner/4950593.santiagodamian.parrou,454.0,60.0,53.0,14.0,04:20:52,15652.245,True,f,
7065,Eduardo BASABE,AR,47,H,45-49M,-,,,61.0,54.0,6.0,04:21:14,15674.805,True,f,
6080,Danilo CLARO,BR,34,H,20-34M,Olimpo,https://utmb.world/runner/4921438.danilo.claro,552.0,62.0,55.0,26.0,04:21:47,15707.808,True,f,
6104,Mariano EDELMAN,AR,37,H,35-39M,Migueles Team,https://utmb.world/runner/4120887.mariano.edelman,,63.0,56.0,15.0,04:21:59,15719.327,True,f,
6046,Maria Paz BAYALA,AR,35,F,20-34W,Diego Simon Team,https://utmb.world/runner/4988855.mariapaz.bayala,552.0,64.0,8.0,6.0,04:22:30,15750.168,True,f,
6753,Cesar LANZA CASTELLI,AR,42,H,40-44M,Magnano Team,https://utmb.world/runner/5572447.cesar.lanzacastelli,,65.0,57.0,8.0,04:22:40,15760.848,True,f,
6245,Rodrigo QUINTANA BARCESAT,AR,31,H,20-34M,PAULUZAK,https://utmb.world/runner/1784213.rodrigo.quintanabarcesat,,66.0,58.0,27.0,04:22:55,15775.819,True,f,
6063,David Angel LEDESMA ABUZAID,AR,36,H,35-39M,SALUD.UTMB,https://utmb.world/runner/4625038.davidangel.ledesmaabuzaid,534.0,67.0,59.0,16.0,04:23:04,15784.1,True,f,
6783,Adrian SANDOVAL,AR,29,H,20-34M,FC TEAM,https://utmb.world/runner/5802495.adrian.sandoval,,68.0,60.0,28.0,04:23:08,15788.989,True,f,
6975,Rodrigo LUNA,UY,34,H,20-34M,Peñarol atletismo,https://utmb.world/runner/5572373.rodrigo.luna,,69.0,61.0,29.0,04:23:22,15802.94,True,f,
6067,Victor Hugo FARFAN,AR,37,H,35-39M,mg trail running,https://utmb.world/runner/3655281.victorhugo.farfan,528.0,70.0,62.0,17.0,04:23:30,15810.891,True,f,
6706,Heber Alexis MARTINEZ ARROQUI,AR,35,H,20-34M,AM team,https://utmb.world/runner/5846289.heberalexis.martinezarroqui,,71.0,63.0,30.0,04:23:33,15813.802,True,f,
6043,Daniela MEDINA,AR,29,F,20-34W,Pauluzak,https://utmb.world/runner/4584754.daniela.medina,564.0,72.0,9.0,7.0,04:24:04,15844.883,True,f,
6054,Juan Manuel SAZATORNIL,AR,43,H,40-44M,Outdoor training,https://utmb.world/runner/5649484.juanmanuel.sazatornil,542.0,73.0,64.0,9.0,04:24:43,15883.614,True,f,
6028,Guillermo José PARERA,AR,31,H,20-34M,ProLife,https://utmb.world/runner/5536366.guillermojose.parera,593.0,73.0,64.0,31.0,04:24:43,15883.853,True,f,
6650,Diego SCARAFIA,AR,52,H,50-54M,M&M Ultra Trail Team,https://utmb.world/runner/5802423.diego.scarafia,,75.0,66.0,2.0,04:24:58,15898.194,True,f,
6862,Facundo GARCIA CARDIN,AR,41,H,40-44M,PAULUZAK,https://utmb.world/runner/4120577.facundo.garciacardin,,76.0,67.0,10.0,04:25:43,15943.77,True,f,
6071,Jose BONGIOVANNI,AR,40,H,35-39M,PAULUZAK trt,https://utmb.world/runner/4120457.jose.bongiovanni,525.0,76.0,67.0,18.0,04:25:43,15943.77,True,f,
6120,Agustín KOSZO,AR,37,H,35-39M,,https://utmb.world/runner/5651270.agustin.koszo,485.0,78.0,69.0,19.0,04:25:44,15944.037,True,f,
6064,Santiago AGUIRRE RIVAS,AR,29,H,20-34M,JB Club Runningteam,https://utmb.world/runner/5649442.santiago.aguirrerivas,533.0,79.0,70.0,32.0,04:26:29,15989.458,True,f,
6141,Cecilia PERALTA,AR,41,F,40-44W,Km running ,https://utmb.world/runner/4821954.cecilia.peralta,474.0,80.0,10.0,1.0,04:26:40,16000.739,True,f,
6928,Paula TRIAS,UY,35,F,20-34W,Diez club,https://utmb.world/runner/1929513.paula.trias,,81.0,11.0,8.0,04:28:16,16096.294,True,f,
6143,Martina GIMENEZ,AR,27,F,20-34W,,https://utmb.world/runner/1785669.martina.gimenez,472.0,82.0,12.0,9.0,04:29:35,16175.047,True,f,
6066,Ines IONNI,AR,29,F,20-34W,BRC running team,https://utmb.world/runner/5312353.ines.ionni,530.0,83.0,13.0,10.0,04:29:56,16196.948,True,f,
6092,Elio Rafael AGUERO,AR,48,H,45-49M,AL+TRAIL,https://utmb.world/runner/5572429.eliorafael.aguero,507.0,84.0,71.0,7.0,04:31:01,16261.931,True,f,
6042,Felipe GUAJARDO,CL,40,H,35-39M,Mountain Running CO,https://utmb.world/runner/943853.felipe.guajardo,568.0,85.0,72.0,20.0,04:31:08,16268.711,True,f,
6036,Carolina GUZMAN,AR,44,F,40-44W,,https://utmb.world/runner/4080118.carolina.guzman,574.0,86.0,14.0,2.0,04:31:55,16315.272,True,f,
6082,Valeria ADARO,AR,38,F,35-39W,Benjamin Bustos,https://utmb.world/runner/4625034.valeria.adaro,517.0,87.0,15.0,2.0,04:32:04,16324.425,True,f,
6105,Alejandro Javier DOMINGO,AN,32,H,20-34M,,https://utmb.world/runner/4959051.alejandro.domingo,497.0,88.0,73.0,33.0,04:32:26,16346.355,True,f,
6930,Marcelo ABDO,BR,52,H,50-54M,MPR/TRILO/PROBIOTICA,https://utmb.world/runner/5686815.marcelo.abdo,517.0,89.0,74.0,3.0,04:32:41,16361.054,True,f,
6029,Daniel Alfonso MUSSO,AR,40,H,35-39M,Bodytrail running,https://utmb.world/runner/5886181.danielalfonso.musso,592.0,90.0,75.0,21.0,04:33:16,16396.967,True,f,
6116,Lucrecia CORNEJO COLL,AR,32,F,20-34W,KAS,https://utmb.world/runner/5140055.lucrecia.cornejocoll,491.0,91.0,16.0,11.0,04:33:56,16436.238,True,f,
6747,Manuel CELA,AR,42,H,40-44M,,https://utmb.world/runner/889363.manuel.cela,,92.0,76.0,11.0,04:34:20,16460.149,True,f,
6027,Federico BRAUM,AR,47,H,45-49M,BANCO NACION,https://utmb.world/runner/5649404.federico.braum,601.0,93.0,77.0,8.0,04:35:15,16515.621,True,f,
6118,Martin Eduardo MONZON,AR,42,H,40-44M,Game,https://utmb.world/runner/5802463.martineduardo.monzon,490.0,94.0,78.0,12.0,04:35:27,16527.53,True,f,
6916,Nils ROUSSEAU,FR,25,H,20-34M,,https://utmb.world/runner/5846225.nils.rousseau,,95.0,79.0,34.0,04:35:45,16545.742,True,f,
6084,Guido FRANCHI,AR,47,H,45-49M,PAULUZAK,https://utmb.world/runner/4506050.guido.franchi,513.0,96.0,80.0,9.0,04:36:03,16563.082,True,f,
6070,Virginia RAISEVICH,AR,44,F,40-44W,CAR,https://utmb.world/runner/2548833.virginia.raisevich,526.0,97.0,17.0,3.0,04:36:04,16564.402,True,f,
6107,Matias RODRIGUEZ,AR,38,H,35-39M,GEOFITNESS,https://utmb.world/runner/4358824.matias.rodriguez,495.0,98.0,81.0,22.0,04:36:10,16570.823,True,f,
7052,Nahuel GIUDICE,AR,49,H,45-49M,FOREST GRUP PINAMAR,,,99.0,82.0,10.0,04:36:22,16582.104,True,f,
6081,Adrian VALCARCE,AR,46,H,45-49M,Pauluzak,https://utmb.world/runner/4444544.adrian.valcarce,518.0,100.0,83.0,11.0,04:36:23,16583.964,True,f,
6061,Marcelo GARCÍA,AR,43,H,40-44M,Más Activo Running,https://utmb.world/runner/4624998.marcelo.garcia,535.0,101.0,84.0,13.0,04:36:43,16603.225,True,f,
7019,Juan Segundo BALBIN,AR,26,H,20-34M,PALERMO.TEAM.UTMB,https://utmb.world/runner/5774075.juansegundo.balbin,,102.0,85.0,35.0,04:36:54,16614.055,True,f,
6094,Agustin EHRLICH,AR,28,H,20-34M,,https://utmb.world/runner/5007983.agustin.ehrlich,503.0,103.0,86.0,36.0,04:37:04,16624.705,True,f,
6239,Rodolfo Adrian Alberto LANA,AN,38,H,35-39M,,https://utmb.world/runner/5008749.rodolfoadrianalberto.lana,431.0,104.0,87.0,23.0,04:37:08,16628.096,True,f,
6052,Dario Sebastian RIVERO,AR,40,H,35-39M,DD.RUNNING TEAM,https://utmb.world/runner/4927384.dariosebastian.rivero,544.0,105.0,88.0,24.0,04:37:34,16654.977,True,f,
6861,Mariano VALENZUELA,AR,48,H,45-49M,Greenfitnessmg,https://utmb.world/runner/5857269.mariano.valenzuela,,106.0,89.0,12.0,04:38:52,16732.08,True,f,
6069,Sofía RUSSO FOX,AR,35,F,20-34W,pauluzak,https://utmb.world/runner/4120930.sofia.russofox,528.0,107.0,18.0,12.0,04:38:53,16733.071,True,f,
6072,Javier OSORIO,CL,41,H,40-44M,Moutainrunningco,https://utmb.world/runner/5802421.javier.osorio,527.0,108.0,90.0,14.0,04:39:04,16744.35,True,f,
6177,Juan Ignacio MARTOS,AR,40,H,35-39M,,https://utmb.world/runner/4626392.juanignacio.martos,456.0,109.0,91.0,25.0,04:39:29,16769.191,True,f,
6060,Franco GENTILE,AR,29,H,20-34M,,https://utmb.world/runner/4626368.franco.gentile,535.0,110.0,92.0,37.0,04:39:42,16782.484,True,f,
6689,Macarena FERNANDEZ MADERO,AR,27,F,20-34W,km a km,https://utmb.world/runner/5868263.macarena.fernandezmadero,,110.0,19.0,13.0,04:39:42,16782.153,True,f,
6908,Nahuel GUTIERREZ,AR,25,H,20-34M,Green Fitness,https://utmb.world/runner/5802487.nahuel.gutierrez,,112.0,93.0,38.0,04:40:23,16823.314,True,f,
6873,Gonzalo LOPEZ VILLAGRA,AR,43,H,40-44M,Barbeito´s Team,https://utmb.world/runner/5572421.gonzalo.lopezvillagra,,113.0,94.0,15.0,04:40:36,16836.005,True,f,
6871,Vanina QUIJADA,AR,36,F,35-39W,,https://utmb.world/runner/5964027.vanina.quijada,,114.0,20.0,3.0,04:40:56,16856.556,True,f,
6869,Maximiliano Nicolas REYES,AR,34,H,20-34M,RA Team,https://utmb.world/runner/5572387.maximilianonicolas.reyes,,115.0,95.0,39.0,04:41:00,16860.725,True,f,
6121,Hernan GUANCIAROSSA,AR,49,H,45-49M,AL,https://utmb.world/runner/1785737.hernan.guanciarossa,486.0,116.0,96.0,13.0,04:41:18,16878.906,True,f,
6038,Martin BIEN,AR,46,H,45-49M,banco nacion,https://utmb.world/runner/1349445.martin.bien,573.0,117.0,97.0,14.0,04:41:29,16889.617,True,f,
6879,Juan Ignacio ALLIEVI ORSELLI,AR,40,H,35-39M,Bob Petonio’s Team,https://utmb.world/runner/823814.juanignacio.allieviorselli,,118.0,98.0,26.0,04:41:30,16890.547,True,f,
6099,Clara VIRASORO,AR,47,F,45-49W,Palermo Adventure Team,https://utmb.world/runner/4670250.clara.virasoro,500.0,119.0,21.0,2.0,04:41:52,16912.178,True,f,
7058,Lucas CRESPIN,AR,37,H,35-39M,Pg Team,https://utmb.world/runner/4789430.lucas.crespin,521.0,120.0,99.0,27.0,04:42:22,16942.99,True,f,
6096,Lucas BERTOTTI,AR,36,H,35-39M,PG TEAM,https://utmb.world/runner/4927586.lucas.bertotti,502.0,120.0,99.0,27.0,04:42:22,16942.178,True,f,
6131,Luciano SARA,AR,46,H,45-49M,,https://utmb.world/runner/3098431.luciano.sara,481.0,122.0,101.0,15.0,04:42:39,16959.189,True,f,
6707,Cristian Ignacio FLORES,AR,45,H,40-44M,Team Luchopilatti ,https://utmb.world/runner/5969043.cristian.flores,,123.0,102.0,16.0,04:42:55,16975.721,True,f,
6142,Jorgelina ACOSTA,AR,47,F,45-49W,Runners Fox,https://utmb.world/runner/1968325.jorgelina.acosta,473.0,124.0,22.0,3.0,04:43:20,17000.802,True,f,
6083,Claudio MORELLI,AR,51,H,50-54M,BNA,https://utmb.world/runner/893041.claudio.morelli,516.0,125.0,103.0,4.0,04:43:27,17007.882,True,f,
6088,Jorge ESPER,AR,47,H,45-49M,NADALEZ.TEAM.UTMB,https://utmb.world/runner/5029679.jorge.esper,509.0,126.0,104.0,16.0,04:43:48,17028.103,True,f,
7014,Mariano ROMANO,AR,38,H,35-39M,Grupo de Entrenamiento TT,https://utmb.world/runner/2412293.mariano.romano,,127.0,105.0,29.0,04:43:52,17032.063,True,f,
6112,Manuel HEREDIA,AR,40,H,35-39M,Km a Km,https://utmb.world/runner/3777535.manuel.heredia,491.0,128.0,106.0,30.0,04:43:53,17033.293,True,f,
6117,Federico CORNEJO,AR,34,H,20-34M,Alquimia Deportiva,https://utmb.world/runner/3777387.federico.cornejo,490.0,129.0,107.0,40.0,04:44:08,17048.978,True,f,
6055,Diego Javier DOMINGUEZ,AR,45,H,40-44M,Theblackteam,https://utmb.world/runner/5752222.diegojavier.dominguez,542.0,130.0,108.0,17.0,04:44:28,17068.334,True,f,
6974,Agustín STANCATO,AR,34,H,20-34M,,https://utmb.world/runner/1309275.agustin.stancato,,131.0,109.0,41.0,04:44:48,17088.165,True,f,
6089,Santiago PIERGIACOMI,AR,37,H,35-39M,BARRA energética,https://utmb.world/runner/5750984.santiago.piergiacomi,509.0,132.0,110.0,31.0,04:45:22,17122.157,True,f,
7012,Nicolas PEREZ GIRAUDO,AR,46,H,45-49M,,https://utmb.world/runner/201015.nicolas.perezgiraudo,,133.0,111.0,17.0,04:45:31,17131.907,True,f,
6136,Lucas Ernesto MADERO,AR,36,H,35-39M,,https://utmb.world/runner/5088909.lucasernesto.madero,477.0,134.0,112.0,32.0,04:45:39,17139.291,True,f,
6948,Juan DIBELLO,UY,39,H,35-39M,,https://utmb.world/runner/5802367.juan.dibello,,135.0,113.0,33.0,04:45:47,17147.717,True,f,
6047,Emanuel GAGLIESI,AR,31,H,20-34M,prolife running team,https://utmb.world/runner/5247340.emanuel.gagliesi,551.0,136.0,114.0,42.0,04:45:48,17148.228,True,f,
6057,Julio Cesar CASTRO CAMPOS,CL,50,H,45-49M,Castro Horta Valdes,https://utmb.world/runner/5556180.juliocesar.castrocampos,538.0,137.0,115.0,18.0,04:45:50,17150.657,True,f,
6890,Noelia CANGIALOSI,AR,38,F,35-39W,,https://utmb.world/runner/5802563.noelia.cangialosi,,138.0,23.0,4.0,04:46:08,17168.479,True,f,
6663,Juan Ignacio BONIFACIO,AR,31,H,20-34M,HGRT,https://utmb.world/runner/5802569.juanignacio.bonifacio,,139.0,116.0,43.0,04:46:27,17187.17,True,f,
6045,Maria Fernanda CASTRO,AR,48,F,45-49W,Ceci Irigiyen Running &  Fit,https://utmb.world/runner/2985863.mariafernanda.castro,560.0,140.0,24.0,4.0,04:47:19,17239.851,True,f,
6050,Mauricio Gaston OCEJO,AR,53,H,50-54M,RA TEAM,https://utmb.world/runner/2297129.mauriciogaston.ocejo,545.0,141.0,117.0,5.0,04:47:38,17258.034,True,f,
6646,Facundo Jose MONES CAZON,AR,40,H,35-39M,km km,https://utmb.world/runner/5846321.facundojose.monescazon,,142.0,118.0,34.0,04:48:02,17282.305,True,f,
6423,Nicolás MONSALVO,AR,34,H,20-34M,Nómades,https://utmb.world/runner/4988985.nicolas.monsalvo,366.0,143.0,119.0,44.0,04:48:16,17296.583,True,f,
6129,Nicolás RUIZ MORENO,AR,39,H,35-39M,KmaKm,https://utmb.world/runner/4389264.nicolas.ruizmoreno,483.0,144.0,120.0,35.0,04:48:27,17307.775,True,f,
6456,Lucas Matias GIMENEZ,AR,48,H,45-49M,synergy,https://utmb.world/runner/5227731.lucasmatias.gimenez,354.0,145.0,121.0,19.0,04:48:36,17316.115,True,f,
6106,Nazarena GALLEGOS,AR,29,F,20-34W,las maras cañadon seco,https://utmb.world/runner/5011504.nazarena.gallegos,497.0,146.0,25.0,14.0,04:49:14,17354.008,True,f,
6147,Agustina ARIAS BONACCHI,AR,29,F,20-34W,FC TEAM,https://utmb.world/runner/5871947.agustina.ariasbonacchi,469.0,147.0,26.0,15.0,04:50:11,17411.698,True,f,
6165,Daniel CARRIZO,AR,48,H,45-49M,RV entrenamientos,https://utmb.world/runner/4927536.daniel.carrizo,460.0,148.0,122.0,20.0,04:50:50,17450.821,True,f,
6768,Augusto CASTRO,AR,39,H,35-39M,KAS,https://utmb.world/runner/5802603.augusto.castro,,149.0,123.0,36.0,04:50:58,17458.05,True,f,
6715,Adrián IAROSSI,AR,49,H,45-49M,Liebres,https://utmb.world/runner/5572465.adrian.iarossi,,150.0,124.0,21.0,04:51:32,17492.524,True,f,
6677,Candelaria CORTES,AR,31,F,20-34W,Athlon,https://utmb.world/runner/5802443.candelaria.cortes,,151.0,27.0,16.0,04:51:38,17498.612,True,f,
6163,Carolina BAVASTRO,AR,46,F,45-49W,River Plate Running Team,https://utmb.world/runner/2996369.carolina.bavastro,461.0,152.0,28.0,5.0,04:51:48,17508.693,True,f,
6213,Gloria BOULLON,AR,36,F,35-39W,Pauluzak,https://utmb.world/runner/3776913.gloria.boullon,443.0,152.0,28.0,5.0,04:51:48,17508.515,True,f,
7029,Victoria MARSERO,AR,44,F,40-44W,,https://utmb.world/runner/378491.victoria.marsero,550.0,154.0,30.0,4.0,04:52:13,17533.205,True,f,
